WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
26809590,EC,Mejia,SPA,County,2345219
26809591,EC,Mera,SPA,County,2345218
26809592,EC,Milagro,SPA,County,2345211
26809593,EC,Mira,SPA,County,2345206
26809594,EC,Mocache,SPA,County,2345214
26809595,EC,Mocha,SPA,County,2345220
26809596,EC,Montalvo,SPA,County,2345214
26809597,EC,Montecristi,SPA,County,2345215
26809598,EC,Montufar,SPA,County,2345206
26809599,EC,Muisne,SPA,County,2345210
26809600,EC,Nabon,SPA,County,2345203
26809601,EC,Nangaritza,SPA,County,2345221
26809602,EC,Naranjal,SPA,County,2345211
26809603,EC,Naranjito,SPA,County,2345211
26809604,EC,Nobol,SPA,County,2345211
26809605,EC,Sucumbios,SPA,County,2345222
26809606,EC,Olmedo,SPA,County,2345215
26809607,EC,Ona,SPA,County,2345203
26809608,EC,Otavalo,SPA,County,2345212
26809609,EC,Pajan,SPA,County,2345215
26809610,EC,Palanda,SPA,County,2345221
26809611,EC,Palenque,SPA,County,2345214
26809612,EC,Palestina,SPA,County,2345211
26809613,EC,Pallatanga,SPA,County,2345207
26809614,EC,Palora,SPA,County,2345216
26809615,EC,Paltas,SPA,County,2345213
26809616,EC,Pangua,SPA,County,2345208
26809617,EC,Pasaje,SPA,County,2345209
26809618,EC,Patate,SPA,County,2345220
26809619,EC,Paute,SPA,County,2345203
26809620,EC,Pedernales,SPA,County,2345215
26809621,EC,Pedro Carbo,SPA,County,2345211
26809622,EC,Pedro Moncayo,SPA,County,2345219
26809623,EC,Pedro Vicente Maldonado,SPA,County,2345219
26809624,EC,Penipe,SPA,County,2345207
26809625,EC,Pichincha,SPA,County,2345215
26809626,EC,Pimampiro,SPA,County,2345212
26809627,EC,Pinas,SPA,County,2345209
26809628,EC,Pindal,SPA,County,2345213
26809629,EC,Playas,SPA,County,2345211
26809630,EC,Portovelo,SPA,County,2345209
26809631,EC,Portoviejo,SPA,County,2345215
26809632,EC,Pucara,SPA,County,2345203
26809633,EC,Pueblo Viejo,SPA,County,2345214
26809634,EC,Puerto Lopez,SPA,County,2345215
26809635,EC,Puerto Quito,SPA,County,2345219
26809636,EC,Pujili,SPA,County,2345208
26809637,EC,Putumayo,SPA,County,2345222
26809638,EC,Puyango,SPA,County,2345213
26809639,EC,Pastaza,SPA,County,2345218
26809640,EC,Quero,SPA,County,2345220
26809641,EC,Quevedo,SPA,County,2345214
26809642,EC,Quijos,SPA,County,2345217
26809643,EC,Quilanga,SPA,County,2345213
26809644,EC,Quininde,SPA,County,2345210
26809645,EC,Quito,SPA,County,2345219
26809646,EC,Rio Verde,SPA,County,2345210
26809647,EC,Riobamba,SPA,County,2345207
26809648,EC,Rocafuerte,SPA,County,2345215
26809649,EC,Ruminahui,SPA,County,2345219
26809650,EC,Salcedo,SPA,County,2345208
26809651,EC,Salinas,SPA,County,56189815
26809652,EC,Samborondon,SPA,County,2345211
26809653,EC,San Fernando,SPA,County,2345203
26809654,EC,Yaguachi,SPA,County,2345211
26809655,EC,Chimbo,SPA,County,2345204
26809656,EC,San Juan Bosco,SPA,County,2345216
26809657,EC,San Lorenzo,SPA,County,2345210
26809658,EC,San Miguel,SPA,County,2345204
26809659,EC,San Miguel de los Bancos,SPA,County,2345219
26809660,EC,San Miguel de Urcuqui,SPA,County,2345212
26809661,EC,San Pedro de Huaca,SPA,County,2345206
26809662,EC,Pelileo,SPA,County,2345220
26809663,EC,Santa Ana,SPA,County,2345215
26809664,EC,Santa Clara,SPA,County,2345218
26809665,EC,Santa Elena,SPA,County,56189815
26809666,EC,Santa Isabel,SPA,County,2345203
26809667,EC,Santa Lucía,SPA,County,2345211
26809668,EC,Santa Rosa,SPA,County,2345209
26809669,EC,Santiago,SPA,County,2345216
26809670,EC,Pillaro,SPA,County,2345220
26809671,EC,Santo Domingo de los Tsáchilas,SPA,County,56189814
26809672,EC,Saquisili,SPA,County,2345208
26809673,EC,Saraguro,SPA,County,2345213
26809674,EC,Sevilla de Oro,SPA,County,2345203
26809675,EC,Shushufindi,SPA,County,2345222
26809676,EC,Sigchos,SPA,County,2345208
26809677,EC,Sigsig,SPA,County,2345203
26809678,EC,Simon Bolivar,SPA,County,2345211
26809679,EC,Sozoranga,SPA,County,2345213
26809680,EC,Sucre,SPA,County,2345215
26809681,EC,Sucua,SPA,County,2345216
